Date,Open,High,Low,Close,Adj Close,Volume,,,,
26/09/2013,173499,174582,172616,173600,173600,3,,,,
27/09/2013,172990,172990,171772,172210,172210,4,,,,
30/09/2013,170605,171131,169780,170410,170410,4,,,,
01/10/2013,170438,171602,170200,171028,171028,4,,,,
02/10/2013,170101,171506,169855,171500,171500,5,,,,
03/10/2013,171100,171100,169255,169995,169995,6,,,,
04/10/2013,170400,171496,170085,170743,170743,4,,,,
07/10/2013,169609,170600,168580,169455,169455,6,,,,
08/10/2013,169720,169883,167380,167452,167452,6,,,,
09/10/2013,168075,168520,166510,168205,168205,4,,,,
10/10/2013,169799,172485,169620,172485,172485,5,,,,
11/10/2013,172275,173638,171596,173605,173605,9,,,,
14/10/2013,172006,174200,171750,174200,174200,6,,,,
15/10/2013,173970,173970,171799,171920,171920,4,,,,
16/10/2013,172620,175100,172572,174872,174872,4,,,,
17/10/2013,174541,175862,174100,175286,175286,4,,,,
18/10/2013,176000,176300,175262,175400,175400,3,,,,
21/10/2013,175400,175400,174700,175120,175120,3,,,,
22/10/2013,176000,176360,175570,176140,176140,6,,,,
23/10/2013,175794,176140,174455,174600,174600,3,,,,
24/10/2013,175231,175928,174943,175021,175021,3,,,,
25/10/2013,175021,175615,174802,175435,175435,4,,,,
28/10/2013,175350,175763,175039,175400,175400,4,,,,
29/10/2013,175200,176110,175148,175991,175991,4,,,,
30/10/2013,176188,176465,174340,174340,174340,5,,,,
31/10/2013,174250,174500,172768,172994,172994,6,,,,
01/11/2013,173220,174000,172473,173122,173122,3,,,,
04/11/2013,173749,173929,171765,172089,172089,5,,,,
05/11/2013,171750,172605,171475,171754,171754,2,,,,
06/11/2013,172875,172875,171813,172220,172220,6,,,,
07/11/2013,172700,173005,170836,171090,171090,3,,,,
08/11/2013,170809,173766,170180,173201,173201,5,,,,
11/11/2013,173900,173995,172985,173485,173485,2,,,,
12/11/2013,173060,173089,171040,171211,171211,3,,,,
13/11/2013,170953,172260,170938,172150,172150,4,,,,
14/11/2013,172499,173400,172159,173320,173320,7,,,,
15/11/2013,173500,174443,173005,174300,174300,6,,,,
18/11/2013,174601,174725,173510,173810,173810,4,,,,
19/11/2013,173520,174310,173218,173760,173760,4,,,,
20/11/2013,173626,173763,171864,172480,172480,3,,,,
21/11/2013,172920,174740,172099,174621,174621,4,,,,
22/11/2013,174848,175908,174700,174850,174850,6,,,,
25/11/2013,175675,175856,173125,173311,173311,8,,,,
26/11/2013,173500,175241,173500,174840,174840,3,,,,
27/11/2013,175000,175385,173951,174625,174625,4,,,,
29/11/2013,175320,175430,174272,174750,174750,1,,,,
02/12/2013,174500,174870,172744,172940,172940,5,,,,
03/12/2013,172220,172440,171115,172131,172131,8,,,,
04/12/2013,171050,173500,171050,173500,173500,8,,,,
05/12/2013,172655,173400,172499,173000,173000,7,,,,
06/12/2013,173980,175000,173825,174940,174940,4,,,,
09/12/2013,175275,176140,175000,175700,175700,5,,,,
10/12/2013,175494,175631,173391,173470,173470,5,,,,
11/12/2013,173500,173620,171512,171630,171630,3,,,,
12/12/2013,171511,172555,171100,171500,171500,3,,,,
